trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12201F4536073:2025-07-15T23:15:10Z,06:06:00,06:06:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12201F4536073:2025-07-15T23:15:10Z,06:14:00,06:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12201F4536073:2025-07-15T23:15:10Z,08:14:00,08:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12221F4536079:2025-06-17T23:52:01Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4536079:2025-06-17T23:52:01Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F4536079:2025-06-17T23:52:01Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F4536079:2025-06-17T23:52:01Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F4536079:2025-06-17T23:52:01Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F4536083:2025-07-08T23:22:50Z,19:07:00,19:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4536083:2025-07-08T23:22:50Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12221F4536083:2025-07-08T23:22:50Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F4536083:2025-07-08T23:22:50Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F4536083:2025-07-08T23:22:50Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F4536085:2025-07-08T23:22:50Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4536085:2025-07-08T23:22:50Z,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12221F4536086:2025-06-17T23:52:01Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4536086:2025-06-17T23:52:01Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12221F4536086:2025-06-17T23:52:01Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F4536086:2025-06-17T23:52:01Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F4536086:2025-06-17T23:52:01Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F4615685:2025-06-22T02:30:55Z,19:07:00,19:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4615685:2025-06-22T02:30:55Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F4615685:2025-06-22T02:30:55Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F4615685:2025-06-22T02:30:55Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F4615685:2025-06-22T02:30:55Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F4890373:2025-07-13T23:08:16Z,19:07:00,19:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F4890373:2025-07-13T23:08:16Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F4890373:2025-07-13T23:08:16Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F4890373:2025-07-13T23:08:16Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F4890373:2025-07-13T23:08:16Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12231F4536087:2025-06-17T23:52:01Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12231F4536087:2025-06-17T23:52:01Z,09:14:00,09:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12231F4536087:2025-06-17T23:52:01Z,10:28:00,10:32:00,StopPoint:OCETGV INOUI-87673202,2,,0,0,
OCESN12231F4536087:2025-06-17T23:52:01Z,11:03:00,11:06:00,StopPoint:OCETGV INOUI-87673004,3,,0,0,
OCESN12231F4536087:2025-06-17T23:52:01Z,11:16:00,11:19:00,StopPoint:OCETGV INOUI-87673400,4,,0,0,
