route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000001,OCESN12201F4536073:2025-07-15T23:15:10Z,12201,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12221F4536079:2025-06-17T23:52:01Z,12221,0,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12221F4536083:2025-07-08T23:22:50Z,12221,0,3,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000004,OCESN12221F4536085:2025-07-08T23:22:50Z,12221,0,4,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000005,OCESN12221F4536086:2025-06-17T23:52:01Z,12221,0,5,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000006,OCESN12221F4615685:2025-06-22T02:30:55Z,12221,0,6,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000007,OCESN12221F4890373:2025-07-13T23:08:16Z,12221,0,7,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000008,OCESN12231F4536087:2025-06-17T23:52:01Z,12231,1,8,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000009,OCESN12234F4938321:2025-07-17T23:13:36Z,12234,0,9,
OCESN-87581009-87391003,000010,OCESN12238F4693731:2025-06-27T23:52:54Z,12238,1,10,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000011,OCESN12249F4573569:2025-06-18T23:50:29Z,12249,1,11,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000012,OCESN12249F4772839:2025-07-03T23:12:00Z,12249,1,12,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000013,OCESN12249F4938320:2025-07-17T23:13:36Z,12249,1,13,
OCESN-87581009-87391003,000014,OCESN12250F4536091:2025-07-06T23:29:46Z,12250,1,14,
OCESN-87581009-87391003,000015,OCESN12250F4536092:2025-07-06T23:29:46Z,12250,1,15,
OCESN-87581009-87391003,000016,OCESN12250F4536624:2025-07-11T23:16:08Z,12250,1,16,
OCESN-87581009-87391003,000017,OCESN12250F4536625:2025-07-06T23:29:46Z,12250,1,17,
OCESN-87581009-87391003,000018,OCESN12250F4879295:2025-07-12T23:12:57Z,12250,1,18,
OCESN-87581009-87391003,000019,OCESN12250F4887502:2025-07-13T23:08:16Z,12250,1,19,
OCESN-87391003-87581009,000020,OCESN12251F4224241:2025-07-06T23:29:46Z,12251,0,20,
OCESN-87391003-87581009,000021,OCESN12251F4918748:2025-07-16T09:45:24Z,12251,0,21,
OCESN-87581009-87391003,000022,OCESN12252F4536099:2025-07-06T23:29:46Z,12252,1,22,
OCESN-87581009-87391003,000010,OCESN12252F4536100:2025-07-06T23:29:46Z,12252,1,23,
OCESN-87581009-87391003,000023,OCESN12252F4536102:2025-07-06T23:29:46Z,12252,1,24,
OCESN-87581009-87391003,000024,OCESN12252F4536103:2025-07-06T23:29:46Z,12252,1,25,
OCESN-87391003-87581009,000025,OCESN12253F4535474:2025-06-17T23:52:01Z,12253,0,26,
OCESN-87581009-87391003,000026,OCESN12254F4536105:2025-07-06T23:29:46Z,12254,1,27,
OCESN-87581009-87391003,000027,OCESN12254F4536106:2025-07-06T23:29:46Z,12254,1,28,
OCESN-87581009-87391003,000023,OCESN12254F4536107:2025-07-06T23:29:46Z,12254,1,29,
OCESN-87581009-87391003,000028,OCESN12254F4536110:2025-07-06T23:29:46Z,12254,1,30,
OCESN-87581009-87391003,000010,OCESN12254F4536111:2025-07-06T23:29:46Z,12254,1,31,
OCESN-87581009-87391003,000029,OCESN12254F4918747:2025-07-16T09:45:24Z,12254,1,32,
OCESN-87581009-87391003,000030,OCESN12254F4938317:2025-07-17T23:13:36Z,12254,1,33,
OCESN-87391003-87581009,000031,OCESN12255F4535999:2025-07-06T23:29:46Z,12255,0,34,
OCESN-87581009-87391003,000032,OCESN12256F4535998:2025-07-06T23:29:46Z,12256,1,35,
OCESN-87581009-87391003,000033,OCESN12256F4606446:2025-07-06T23:29:46Z,12256,1,36,
OCESN-87581009-87391003,000034,OCESN12258F4754767:2025-07-06T23:29:46Z,12258,1,37,
OCESN-87391003-87581009,000035,OCESN12259F4535994:2025-07-06T23:29:46Z,12259,0,38,
OCESN-87391003-87581009,000036,OCESN12259F4938316:2025-07-17T23:13:36Z,12259,0,39,
OCESN-87581009-87391003,000037,OCESN12260F4535982:2025-07-06T23:29:46Z,12260,1,40,
OCESN-87581009-87391003,000038,OCESN12260F4535983:2025-07-06T23:29:46Z,12260,1,41,
OCESN-87581009-87391003,000039,OCESN12260F4535984:2025-07-06T23:29:46Z,12260,1,42,
OCESN-87581009-87391003,000036,OCESN12260F4535985:2025-07-06T23:29:46Z,12260,1,43,
OCESN-87581009-87391003,000040,OCESN12260F4535986:2025-07-06T23:29:46Z,12260,1,44,
OCESN-87581009-87391003,000011,OCESN12260F4535987:2025-07-06T23:29:46Z,12260,1,45,
OCESN-87581009-87391003,000041,OCESN12260F4535988:2025-07-06T23:29:46Z,12260,1,46,
OCESN-87581009-87391003,000042,OCESN12260F4535989:2025-07-06T23:29:46Z,12260,1,47,
OCESN-87581009-87391003,000010,OCESN12260F4535990:2025-07-06T23:29:46Z,12260,1,48,
OCESN-87581009-87391003,000043,OCESN12260F4535991:2025-07-06T23:29:46Z,12260,1,49,
OCESN-87391003-87581009,000044,OCESN12261F4224208:2025-07-06T23:29:46Z,12261,0,50,
OCESN-87391003-87581009,000045,OCESN12261F4535978:2025-07-06T23:29:46Z,12261,0,51,
OCESN-87391003-87581009,000015,OCESN12261F4535979:2025-07-06T23:29:46Z,12261,0,52,
OCESN-87391003-87581009,000046,OCESN12261F4535980:2025-07-06T23:29:46Z,12261,0,53,
OCESN-87391003-87581009,000047,OCESN12261F4807371:2025-07-06T23:29:46Z,12261,0,54,
OCESN-87391003-87581009,000048,OCESN12261F4887501:2025-07-13T23:08:16Z,12261,0,55,
OCESN-87391003-87581009,000049,OCESN12261F4918744:2025-07-16T09:45:24Z,12261,0,56,
OCESN-87391003-87581009,000050,OCESN12261F4938314:2025-07-17T23:13:36Z,12261,0,57,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000051,OCESN12262F4905878:2025-07-15T23:15:10Z,12262,1,58,
OCESN-87391003-87581009,000025,OCESN12263F4224445:2025-07-06T23:29:46Z,12263,0,59,
OCESN-87581009-87391003,000052,OCESN12264F4535970:2025-07-06T23:29:46Z,12264,1,60,
OCESN-87581009-87391003,000053,OCESN12264F4887500:2025-07-13T23:08:16Z,12264,1,61,
OCESN-87391003-87581009,000054,OCESN12265F4535967:2025-07-06T23:29:46Z,12265,0,62,
OCESN-87581009-87391003,000055,OCESN12266F4535962:2025-07-06T23:29:46Z,12266,1,63,
OCESN-87581009-87391003,000038,OCESN12266F4535964:2025-07-06T23:29:46Z,12266,1,64,
OCESN-87581009-87391003,000056,OCESN12266F4535965:2025-07-06T23:29:46Z,12266,1,65,
OCESN-87581009-87391003,000057,OCESN12266F4887499:2025-07-13T23:08:16Z,12266,1,66,
OCESN-87581009-87391003,000036,OCESN12266F4938313:2025-07-17T23:13:36Z,12266,1,67,
OCESN-87391003-87581009,000058,OCESN12267F3830443:2025-07-06T23:29:46Z,12267,0,68,
OCESN-87391003-87581009,000059,OCESN12267F3830446:2025-07-06T23:29:46Z,12267,0,69,
OCESN-87391003-87581009,000060,OCESN12267F4535956:2025-07-06T23:29:46Z,12267,0,70,
OCESN-87391003-87581009,000061,OCESN12267F4535957:2025-07-06T23:29:46Z,12267,0,71,
OCESN-87391003-87581009,000062,OCESN12267F4887498:2025-07-13T23:08:16Z,12267,0,72,
OCESN-87391003-87581009,000063,OCESN12267F4938312:2025-07-17T23:13:36Z,12267,0,73,
OCESN-87581009-87391003,000038,OCESN12268F3891579:2025-07-06T23:29:46Z,12268,1,74,
OCESN-87581009-87391003,000064,OCESN12268F4279806:2025-07-06T23:29:46Z,12268,1,75,
OCESN-87581009-87391003,000065,OCESN12268F4285918:2025-07-06T23:29:46Z,12268,1,76,
OCESN-87581009-87391003,000011,OCESN12268F4535953:2025-07-06T23:29:46Z,12268,1,77,
OCESN-87581009-87391003,000040,OCESN12268F4905877:2025-07-15T23:15:10Z,12268,1,78,
OCESN-87581009-87391003,000066,OCESN12268F4938311:2025-07-17T23:13:36Z,12268,1,79,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000036,OCESN12269F4938310:2025-07-17T23:13:36Z,12269,0,80,
OCESN-87581009-87391003,000067,OCESN12270F4535949:2025-07-06T23:29:46Z,12270,1,81,
OCESN-87581009-87391003,000068,OCESN12270F4938309:2025-07-17T23:13:36Z,12270,1,82,
OCESN-87391003-87581009,000069,OCESN12271F4535946:2025-07-06T23:29:46Z,12271,0,83,
OCESN-87391003-87581009,000070,OCESN12271F4535947:2025-07-06T23:29:46Z,12271,0,84,
OCESN-87391003-87581009,000071,OCESN12271F4879327:2025-07-12T23:12:57Z,12271,0,85,
OCESN-87581009-87391003,000072,OCESN12272F4527687:2025-07-06T23:29:46Z,12272,1,86,
OCESN-87581009-87391003,000073,OCESN12272F4535943:2025-07-06T23:29:46Z,12272,1,87,
OCESN-87581009-87391003,000074,OCESN12272F4754693:2025-07-06T23:29:46Z,12272,1,88,
OCESN-87391003-87581009,000075,OCESN12273F4535939:2025-07-06T23:29:46Z,12273,0,89,
OCESN-87581009-87391003,000076,OCESN12274F4535937:2025-07-06T23:29:46Z,12274,1,90,
OCESN-87581009-87391003,000051,OCESN12274F4905918:2025-07-15T23:15:10Z,12274,1,91,
OCESN-87581009-87391003,000077,OCESN12274F4938308:2025-07-17T23:13:36Z,12274,1,92,
OCESN-87391003-87581009,000025,OCESN12275F3830744:2025-07-06T23:29:46Z,12275,0,93,
OCESN-87581009-87391003,000078,OCESN12276F4535933:2025-07-06T23:29:46Z,12276,1,94,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000006,OCESN12277F4535931:2025-06-17T23:52:01Z,12277,0,95,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000079,OCESN12277F4887552:2025-07-13T23:08:16Z,12277,0,96,
OCESN-87581009-87391003,000080,OCESN12278F4535930:2025-07-11T23:16:08Z,12278,1,97,
OCESN-87581009-87391003,000036,OCESN12278F4938354:2025-07-17T23:13:36Z,12278,1,98,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000025,OCESN12295F4866787:2025-07-13T23:08:16Z,12295,1,99,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000081,OCESN2033F4548026:2025-06-17T23:52:01Z,2033,0,100,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000082,OCESN2051F4328913:2025-05-28T00:14:01Z,2051,0,101,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000083,OCESN2051F4710176:2025-07-02T23:28:40Z,2051,0,102,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000084,OCESN2051F4720623:2025-07-02T23:28:40Z,2051,0,103,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000085,OCESN2051F4754535:2025-07-02T23:28:40Z,2051,0,104,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000086,OCESN2054F4759219:2025-07-02T23:28:40Z,2054,1,105,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000087,OCESN2055F4710175:2025-07-05T23:09:20Z,2055,0,106,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000084,OCESN2057F4732879:2025-07-02T23:28:40Z,2057,0,107,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000086,OCESN2057F4741315:2025-07-04T23:11:59Z,2057,0,108,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000031,OCESN2058F4754534:2025-07-02T23:28:40Z,2058,1,109,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000088,OCESN2059F4535617:2025-07-12T23:12:57Z,2059,0,110,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000089,OCESN2060F4537150:2025-06-17T23:52:01Z,2060,1,111,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000015,OCESN2060F4804026:2025-07-06T23:29:46Z,2060,1,112,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000090,OCESN2060F4887279:2025-07-13T23:08:16Z,2060,1,113,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000091,OCESN2060F4938081:2025-07-17T23:13:36Z,2060,1,114,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000092,OCESN2061F4537151:2025-07-04T23:11:59Z,2061,0,115,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000038,OCESN2061F4537152:2025-06-18T23:50:29Z,2061,0,116,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000084,OCESN2061F4701957:2025-07-04T23:11:59Z,2061,0,117,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000093,OCESN2062F4537154:2025-07-11T23:16:08Z,2062,1,118,
